name,content
Johnson & Johnson,"Johnson & Johnson Canada - Johnson & Johnson Consumer HealthSkip to main contentABOUT US
OUR PRODUCTS
CareersCareers at J&J
Student Opportunities at J&JCONTACT US
Care ClubClose Search ResultsSearchEnglish
FrançaisDownload the eSSENTIAL Accessibility app – free assistive technology software for people with physical disabilitiesTélécharger eSSENTIAL Accessibility, le logiciel d’assistance technique pour les personnes ayant un handicap physiqueABOUT US
OUR PRODUCTS
CareersCareers at J&J
Student Opportunities at J&JCONTACT US
Care ClubJohnson & Johnson Consumer Health
For more than 100 years in Canada, Johnson & Johnson Inc. has aimed to keep people well at every age and every stage of life.Who We Are
At Johnson & Johnson Inc., we believe good health is the foundation of vibrant lives, thriving communities and forward progress. As part of the world's largest and most broadly-based healthcare company, we are committed to using our reach and size for good.About UsOur Family of Products
We're proud to offer a large range of consumer healthcare products that include skin health, self care and essential health brands trusted by consumers and healthcare professionals worldwide.All ProductsSkin Health Products
Working with scientists, skin experts and dermatologists, we combine expertise and innovation to create a variety of high-performance products for healthy skin.Self CareProducts
We meet the health needs of families across the globe through a broad range of well-known and trusted healthcare and over-the-counter products.Essential Health Products
Beginning with JOHNSON’S® baby products and throughout life, people reach for our brands to help manage their everyday health.Manufacturing Consumer Health Products
Since 1980, our Guelph, Ontario facility has been manufacturing and distributing Consumer Health Products like TYLENOL® and MOTRIN®.
Located on a 55 acre-site, our 235,000 square- foot manufacturing facility houses production and warehouse space for a broad range of trusted over-the-counter products such as TYLENOL® (acetaminophen) and MOTRIN® (ibuprofen) for adults, children and infants. Today, the Johnson & Johnson Inc. Guelph Manufacturing Plant employs approximately 350 people.Careers at Johnson & Johnson
Creating a healthier future requires ingenuity, compassion and a deep understanding of people's health and well-being needs. Do you want to be part of a team that is redefining, challenging and changing the future of health?Join UsBack to TopACCESSIBILITY POLICY & PLAN
AD CHOICES
PRIVACY POLICY
Accessibility Customer Service PolicyACCESSIBILITY STATEMENT
LEGAL NOTICE
J&J GLOBAL
Site map
CONTACT US© Johnson & Johnson Inc. 2020
This site is published by Johnson & Johnson Inc., which is solely responsible
for its content. This site is intended for visitors from Canada only.
Last Updated: Feb 04, 2020"
Johnson & Johnson,"Products Johnson Johnson to Search ResultsSearchEnglish the Accessibility software people with physical Accessibility, handicap ProductsExplore Johnson Johnson Inc. and Products With You Johnson Johnson Consumer Health offers of healthcare products. health, and health products and healthcare professionals Health with and products that include treatments and cleansers, that the and that inflammation, and cancer.Skin Health the health of the through broad of well-known and healthcare and over-the-counter products. These include of including and cough and colds.Self Health Through every of life, reach wound and oral to their health. with trusted and than years.Essential Health Commitment that every from Johnson Consumer Health and effective when as directed.Our Commitment to QualityBack to TopACCESSIBILITY CHOICES Accessibility Customer Service CONTACT Johnson Johnson Inc. This published Johnson Johnson Inc., which its This from only. Updated:"
Johnson & Johnson,"Johnson Johnson Johnson Johnson Consumer HealthSkip to Search ResultsSearchEnglish the Accessibility free software people with physical Accessibility, handicap ClubJohnson Johnson Consumer Health than years Johnson Johnson Inc. to people every age and of life.Who At Johnson Johnson Inc., health the foundation of thriving and of the and broadly-based healthcare to reach and Family of Products We're to offer of healthcare products that include health, and health and healthcare professionals ProductsSkin Health Products Working with and and to of high-performance products healthy CareProducts the health of the through broad of well-known and trusted healthcare and over-the-counter Health Products with products and throughout life, people reach to their health.Manufacturing Consumer Health Products facility and Consumer Health Products and Located foot facility houses and warehouse broad of trusted over-the-counter products such as (acetaminophen) and (ibuprofen) children and the Johnson Johnson Inc. approximately people.Careers Johnson Johnson Creating healthier and of people's health and to of that challenging and the of health?Join to TopACCESSIBILITY CHOICES Accessibility Customer Service CONTACT Johnson Johnson Inc. This published Johnson Johnson Inc., which its This from only. Updated:"
Johnson & Johnson,"Johnson Johnson Johnson Johnson COMPAGNIE J&JNous the Accessibility software people with physical Accessibility, handicap COMPAGNIE J&JNous Johnson Johnson Johnson Inc. tous Johnson Johnson Inc., croyons Nous Nous tous tout Johnson Johnson Choix service Nous Johnson Johnson Inc. Johnson Johnson Inc.,"
Johnson & Johnson,"Johnson Johnson Access technologieCompany to Access Johnson Johnson Conditions Johnson Johnson Johnson s’associer Access tous tout handicap Johnson Johnson toucher, Assistance Arthrite; marche? Access tout monde.partagerFollow Access Access FacebookFollow Access Conditions Conditions Accessibility. rights reserved.Nous Accessibility"
Johnson & Johnson,"Learn About Johnson Johnson to Search ResultsSearchEnglish the Accessibility free software people with physical Accessibility, handicap ClubHomeAbout UsLearn About Johnson Johnson About Johnson Johnson of the and broadly-based healthcare of Consumer Health, and Devices), to reach and CredoThe that simply, to the and of the people first.""We first responsibility to the and to mothers and fathers and others who products and services. their everything of high constantly to reduce and reasonable Customers' serviced promptly and accurately. business opportunity to to who with throughout the inclusive where each as their diversity and dignity and their They of security, and their Compensation and and clean, and the health and of and them their family and other Employees free to and There and those qualified. highly and their actions and ethical. to the which and and to the community as people healthier and around the and health and education, and bear of the property to protecting the and responsibility to sound with ideas. Research developed, investments the and New purchased, and products launched. created to to these the should JohnsonA History Healthcare the the years and to Johnson Johnson contributed to the founding, of history's healthcare breakthroughs. It with creating the first mass-produced which when there of the forefront of healthcare that history of Learn about and the of that who StoryA Commitment to Caring people to the trajectory of health this and business. that and whole hearts and than years.Global Health of the healthcare Johnson Johnson the and the heart of everything Health Citizenship The Community Johnson Johnson’s community and other philanthropic initiatives around the InitiativesEnvironmental Health Johnson Johnson’s to operations. We're action to the healthier.Our PlanLiving to CommitmentBack to TopACCESSIBILITY CHOICES Accessibility Customer Service CONTACT Johnson Johnson Inc. This published Johnson Johnson Inc., which its This from only. Updated:"
Johnson & Johnson,"Johnson to this Chrome, Firefox or Search CountryOur StoriesLatest NewsInnovationCaring StoriesHealth CompanyOur COVID-19 EffortsThe to Leadership Team of Conduct Corporate Reports Diversity, Inclusion Health and Office of the Chief Officer FamiliesProductsConsumer Health ResourcesCareersLife Diversity, and Inclusion of CenterInvestors2022 of Corporate Governance Quarterly Releases Transparency Health Investor Information Webcasts PresentationsInvestor Fact Community Health NewsCareersPrivacy NoticeProductsInvestorsEmployeesSuppliersOur Integrity From Johnson JohnsonJanssenJanssenPharmaceutical of Johnson JohnsonJohnson Johnson Johnson the Healthcare Johnson Consumer HealthJohnson Johnson Consumer HealthMeeting the and of Consumers WorldwideOur Consumer and Consumer and PriorityJohnson Johnson InnovationJohnson Johnson New Healthcare Through CollaborationJohnson Johnson StoryJohnson Johnson StoryLearn About the Company's MuseumFollow UsFacebookfacebookInstagraminstagramLinkedInlinkedinTwittertwitterYouTubeyoutubeThis and governmental regulations. Please of this to of such and and to of the information this to the of Notice. You should the News section and the the Investor section to the information Johnson Johnson Services, Inc. with or search this information. Not or InformationLimit the of Personal InformationCookie Copyright Johnson Johnson Services, Inc.1997-2023. Rights Reserved.Close Countries Johnson Johnson HealthJanssenMedTechChileChinaColombiaCosta RepublicEcuadorFranceGermanyIndiaJapanMexicoNew PacificParaguayPeruPhilippinesRussiaSwitzerlandGermanEnglishFrenchUnited KingdomUnited Search MenuSearch inputRead the StoryHelping to Cancer to Cancer CareFor World Cancer learn Johnson Johnson’s to Diversity, and Inclusion to transformational treatments and that reach the who them most.Read the StoryJohnson Johnson Named World’s and the Industry Johnson Johnson Named World’s and the Industry to responsibility and of the that the the once the StoryWhat You to About Johnson Johnson's Fourth-Quarter and What You to About Johnson Johnson's Fourth-Quarter and ReportCheck this infographic of the fourth-quarter and performance, with highlights from its and Consumer Health businesses.Read the Story2 Ideas to the of Maternal-Fetal Complications Women Ideas to the of Maternal-Fetal Complications from historically higher of complications. Johnson Johnson researchers to that to this troubling healthcare disparity. These might the changers.Read the Story11 Johnson Johnson Its Products Johnson Johnson Its ProductsWhen the founded wasn't its and household products to and and the of the of Johnson Johnson.Read the StoryMeet People Who People Who Inspired to Increasing Advocating of people with Learn about the extraordinary these the StoryGiving the of Sight the of SightIn around people—including with or Sight Johnson Johnson partnership, to these time.Read the Story4 Things About Things About and increased the effectiveness of this procedure—yet hip revision. Learn the about the surgery, Johnson Johnson to this stat.Health Things About the Disease Things About the Disease NOWWhat Stop Working?InnovationWhat Stop Working?What Stop Working?ON Access to Around the WorldLatest NewsImproving Access to Around the World Access to Around the WorldON NOWNew New Healthy Science-Backed to Beat 2023Health New Healthy Science-Backed to Beat New Year, New Healthy Science-Backed to Beat Advances Treatment Could Young People With HIVInnovationHow Advances Treatment Could People With Advances Treatment Could People With HIVRead the StoryOur to One to breakthrough Working to health research. World Cancer and National Cancer Prevention Month, learn about Johnson Johnson's to Things About the StoryOncologyOur The of CancerLearn MoreInnovationThe Next of Cancer CareRead the StoryInnovation""Our to Cancer from the First the StoryInnovationCould These Researchers the of With the StoryInnovationFrom to The Story New Treatment the StoryHealth Things About the Courchesne, the labThese On to the WorldThese On Mission to the WorldWhat What Johnson Johnson Supporting Healthcare the Hispanic and Johnson Johnson Supporting Healthcare the Hispanic and Condition That Threatened Chances of Healthy Condition That Threatened Chances of Healthy Johnson Named to Women Johnson Johnson Named to Working to Treatments Children With to Treatments Children With Diseases""4 Things to About the of COVID-19 Things to About the of COVID-19Johnson Johnson Facility the Johnson Johnson Groundbreaking Facility the of of people Years of Championing Health Years of Championing HealthTackling the World’s Healthcare the StoryCuring Cancer From Within: The of TherapyRead the StoryThe to Disease Thing of the the StoryWhat AboutWhat to About Serious Babies—Including New Treatment625 Ideas to the of Maternal-Fetal Complications Things About Surgery139 Things About Crohn's LikesFact1920. That’s when Brand invented. Can what their creation? MoreQuick NewsCareersPrivacy NoticeProductsInvestorsEmployeesSuppliersOur Integrity From Johnson JohnsonJanssenJanssenPharmaceutical of Johnson JohnsonJohnson Johnson Johnson the Healthcare Johnson Consumer HealthJohnson Johnson Consumer HealthMeeting the and of Consumers WorldwideOur Consumer and Consumer and CommitmentYour PriorityJohnson Johnson InnovationJohnson Johnson New Healthcare Through CollaborationJohnson Johnson StoryJohnson Johnson StoryLearn About the Company's MuseumFollow UsFacebookfacebookInstagraminstagramLinkedInlinkedinTwittertwitterYouTubeyoutubeThis and governmental regulations. Please of this to of such and regulations and to of the information this to the terms of Notice. You should the News section and the the Investor section to the information Johnson Johnson Services, Inc. with or search this information. Not or InformationLimit the of InformationCookie Copyright Johnson Johnson Services, Inc.1997-2023. Rights Reserved.Back to topYou leaving The redirected to Please below to to that"
Johnson & Johnson,"Johnson to Search ResultsSearchEnglish the Accessibility free software people with physical Accessibility, handicap Johnson JohnsonWe're the trajectory of health, Johnson Johnson household thanks to and and years to ideas of people the We’re of the healthcare and can’t without Learn about each of sectors and with the world’s and broadly-based healthcare company.Careers Johnson JohnsonCommercial the fight health, to win. It's why building with the people the industry. people to creatively approach and the often of and OpportunitiesSupply Chain healthcare with customers and who counting to from high health products to or hip supply to to industry OpportunitiesResearch professionals within and breakthrough and healthcare that people's to turn.View Teams To the healthcare of teams that the of and with exciting and OpportunitiesKick as or OpportunitiesSectors Johnson Johnson three sectors than people the every and that allow people to thrive throughout every of their Health health empowered, and proactively searching They to their and every to offer. At Johnson Johnson Consumer Health, to health products that the boundaries of the of and to people of themselves and their ones.Consumer HealthPharmaceuticals The of Johnson Johnson leading of the and faced With advanced investing the prevented, intercepted, treated, and cured.Janssen Devices radically and to surgery, orthopedics, and continually the of to access, reduce health and and investing people to that back. Healthier healthier business and healthier world.Healthiest Employees the heart, and of On-site and On-site health services Access to e-storeHealthiest Family first. offer family to the family, what that family Enhanced Healthcare accountHealthiest health about than what building the investment Tuition Employee optionsHealthiest history of offer the to the back as and to and healthy to the opportunity to further their while catalyst of time-off to Employee charitable to impact.Donate Commitment to Inclusion Johnson Johnson about perspective. You the from perspective that ideas, that health to Inclusion Johnson Johnson about creating of It's about where heard, and this everyone. Diversity Inclusion Johnson Johnson You of inclusion and workforce the business and reputationRead PledgeBack to TopACCESSIBILITY CHOICES Customer Service CONTACT Johnson Johnson Inc. This published Johnson Johnson Inc., which its This from only. Updated:"
Pfizer Canada Inc.,"Homepage | Pfizer CanadaContact UsCareersMediaScienceContact UsEmbracing the Power of Science. Striving to Cure and Prevent Human Disease.Pfizer Canada strives to profoundly impact the health of Canadians through the discovery, development and delivery of medicines and vaccines. Our diverse portfolio offers a broad range of benefits and solutions to meet the needs of Canadians.Tweets by PfizerCA Share price feedNews Releases09.12.22Pfizer and BioNTech's Omicron BA.4/BA.5-Adapted Bivalent COVID-19 Vaccine Booster Receives Health Canada Authorization for Children 5 Through <12 Years of Age
07.11.22Crohn's and Colitis Canada and Pfizer Canada Announce 2022 Women in IBD Award Recipients
More newsAbout UsOur ProductsHelping CommunitiesÂ Our Voice Suppliers Distribution ChannelPfizer WorldwideMedia CentreTerms Of Use Careers Healthcare ProfessionalsContact UsPrivacy PolicyCopyright Â© Pfizer Canada 2022 All rights reserved. The information is intended only for residents of Canada. Â® Pfizer Inc, used under license"
Pfizer Canada Inc.,"One of the companiesSorry, to to this to to TrialsYour to healthData and ResultsSharing ResultsIntegrity and TransparencyBuilding TrustDiversityEquity and RepresentationPlain Study SummariesExpanded Treatment OptionsFind of DiseaseSmaller impactInternal worldwideInflammation ImmunologyTreatment the the of infectionsOncologyThe of InfectivesCombatting of TherapyBreakthroughs become SciencesThe of MedicineDeveloping tailored ImmunizationProtecting newborns the TechnologyUnleashing the of innovationsDiseases ConditionsCoronavirus PipelineResearch SitesProductsHow GenericLearn the found natureCommitment to QualityMaintaining the highest SupplyStrategic locationsManufacturing the SafetyHealth LiteracyLearning to wellTreatment ChoicesLearning about treatment With others reporting effectsTips EventsCounterfeitingPreventing SheetsProduct ListProduct ContactsPfizerPro ProfessionalsPatient Assistance ProgramsDistributorsPfizer DistributorsStoriesArticlesAnnouncementsBehind the FeaturesPodcastseBooksNewsroomPress ReleasesMedia LibraryUpdates and ContactsAboutPeopleExecutivesOur leadershipBoard MembersThe people companyScientistsOur colleaguesResponsibilityEthics ComplianceEach of responsibleDiversity, Equity, and InclusionEveryone something to offerEHS responsiblity to the ImpactMeeting worldwideHealth SafetyHuman RightsFurthering and worthIntellectual PropertyThe of FirstPrograms researchPolitical PartnershipSupporting organizationsWorking with Healthcare ProfessionalsCollaboration to PricingHow to to privacyReady CuresImproving Access to GrantsCommitted to DisclosureInvestorsInvestors OverviewInformation InvestWhy to of ReportsQuarterly reports and NewsAnnouncements about performanceStock InformationCharts and ServicesInformation transactionsCorporate GovernanceCorporate Governance insight ChartersDefining the structureThe PoliciesEnsuring ethical leadershipCorporate Governance FAQsLearn about approachContact DirectorsEmail of DirectorsHistoryCareersSearch JobsCareer Growth With UsPartnersResearch and PartnershipsVenture to OpportunitiesInvestorsCareersMediaPartnersContact UsSearchContact search within LivesWe’re of breakthroughs and revolutionary that healthier everyone. Treating and Preventing Trachoma More CountriesWe're the donated of the leading infectious of blindness.Learn More About TrachomaInspiration WinThere They’re everywhere. sorrow. They This what when wins.Watch NowLatest Initiatives from the Fight TrachomaTrachoma from of the the 1950s. and suffering throughout the world.Living to of Unused Responsibly to Protect the EnvironmentLearn about the of pharmaceuticals the and to of responsibly.Living From Health to Immunity: What the of increasingly interconnected where from to and country to country, offer protection.Button ArticlesThe The Season Maternal flagship and the of this season, spotlight the history, innovations, and exciting to NowClosing the Health Accord Healthier WorldWhere people shouldn’t the of their healthcare and shouldn’t health More About The AccordThe and the profits from The to charity.Shop The CollectionCoronavirus While to the of the around the world, to people and informed. More On COVID-19A Two-Pronged Approach to Addressing and treatment with authorized oral those to COVID-19.Learn EffortsFollow the the manufacturing, and of to the coronavirus.Learn About EffortsOur Treatment EffortsOrally treatments COVID-19 to the first of infection, which to and death.Learn about Treatment EffortsRecursos Spanish-Speakers)El informa to COVID-19We’re the healthcare to research and the COVID-19 health crisis.How Collaborate to the COVID-19 CrisisSupporting Those Fighting the LinesThe Foundation who to the health related to COVID-19 the and around the world.Learn About The FoundationScienceBiotechnology foundation. and the of researchers CancerInflammation Research to the DiseaseOur Approach to Therapy and MoreInternal the FightAnti InfectivesNew TherapiesProductsEvery the of than and the first ProductBrowse RxPathways to of that offer and free or RxPathways AboutStarting with inventing people and to the Learn More About The of years to With creativity, and significantly that and to QualityGlobal SupplyManufacturing SitesAreas of FocusRevolutionary to and people suffering from of diseases.OncologyInflammation DiseaseInternal InfectivesSubscriptions from the from monthly The Breakthrough and of topics.Sign NowInvestorsCareersMediaPartnersGrant SeekersHealthcare ProfessionalsBusiness to BusinessMerchandisePrivacy of Inc. rights reservedThis information—including information—is only of the United States. The products countries.TwitterFacebookLinked"
