Topic_Num,Topic_Perc_Contrib,Keywords,Text
0.0,0.9807,"business_model, component, resource, value_proposition, technology, change, revenue, company, consumer, cpbmi","The business environment is rapidly changing for NTBFs; hence, the business_model must be adapted to changes in the environment to ensure that competitive advantage is sustained (Chesbrough, 2010; Cosenz and Noto, 2018). Moreover, for the new firm to commercialise its technology (product or service), several components need to function together (Dmitriev et al., 2014). For example, founders need to identify customer segments and their needs, determine the benefits of using the firm’s technology, and identify and confirm revenue streams to capture value (Magretta, 2002; Teece, 2010). Several components of a business_model have been discussed and elaborated on by extant research. However, the ones most discussed are linked to how firms create, deliver, and capture value (Chesbrough and Rosenbloom, 2002; Osterwalder et al., 2005; Teece, 2010). These models include the value_proposition, customer segment and relationships, distribution channels, partner networks, key resources and assets, and revenue and cost structures. The value_proposition is centred as the ‘heart’ of the business_model with customer-related activities and revenues as front-office activities, and resources, partners, and costs as back-office activities.
"
0.0,0.9764,"business_model, component, resource, value_proposition, technology, change, revenue, company, consumer, cpbmi","According to proponents of the process driven business_model, relationships between the components of a model are the subject of dynamic change thus looking at a specific business_model at a certain point in time is a reflection of the prevailing circumstances. Demil and Lecocq (2010) highlights three core components of a process driven business_model, namely, resources and competencies, organizational structure, and propositions for value delivery. Changes within or between these components may impact the model hence making it a dynamic ‘organism’ with the propensity for change signalled by changes in the inter-relational and intra-relational components of the model. Demil and Lecocq (2010) thus conclude that anticipating and reacting to the ‘consequences of evolution in any given component’ is a capability crucial to build and maintain sustainable firm performance."
0.0,0.9678,"business_model, component, resource, value_proposition, technology, change, revenue, company, consumer, cpbmi","In recent years, the worth creation for consumers, companies and networks has been facilitated by various technologies (e.g. mobile applications, cloud_computing, artificial intelligence) combined with business_models like an SE. An SE refers to "" a socio-economic system that enables the intermediate exchange of goods and services between individuals and organizations to increase the efficiency of society and optimize underutilized resources.""
"
0.0,0.9613,"business_model, component, resource, value_proposition, technology, change, revenue, company, consumer, cpbmi","Within high-potential startups, the tension between resource attraction and the maintenance of control is real and significant, and that early founding decisions can lead to very different outcomes regarding both value_creation and control. These results are robust across two different forms of value_creation and across econometric approaches that both (1) use fixed effects to account for unobserved time-invariant company differences and (2) control for individual- and company-level differences."
0.0,0.9431,"business_model, component, resource, value_proposition, technology, change, revenue, company, consumer, cpbmi","As more and more consumers start shifting their purchases online, there will be a continuous demand for growing innovation in digital experiences. When it comes to expanding internationally with the added complexities associated with different cultures, spending habits, and buyer expectations."
0.0,0.9309,"business_model, component, resource, value_proposition, technology, change, revenue, company, consumer, cpbmi","The effect of CPBMI on customer satisfaction is partially mediated through customer value co-creation behavior. This indicates, that there are two avenues from CPBMI to customer satisfaction: namely, (1) to trigger customer cocreation behavior and create satisfaction in return, and (2) to directly impress the customer through CPBMI."
0.0,0.9309,"business_model, component, resource, value_proposition, technology, change, revenue, company, consumer, cpbmi","Just as financial institutions try to create portfolios of investments that will hedge one another’s risks, companies can select an assortment of products or markets to reduce the overall riskiness of the business_model. "
0.0,0.9194,"business_model, component, resource, value_proposition, technology, change, revenue, company, consumer, cpbmi","disruptive_innovations are inferior “good enough” products when
compared directly to existing competitors, but their unique set of
attributes modifies the prevailing value_proposition in a way that
appeals to some consumers."
0.0,0.7583,"business_model, component, resource, value_proposition, technology, change, revenue, company, consumer, cpbmi",Perceived value_creation innovativeness and value_proposition innovativeness positively affect customer satisfaction and customer value co-creation behavior.
1.0,0.9775,"enterprise, opportunity, platform, crossborder, performance, service, digitalization, capability, data, industry","This context opens up inroads to make manufacturing more responsive to user-driven design and to align it better with customer value_creation processes and contexts. From this approach, companies need to develop new capabilities in both, learning more about their customers (using digital capabilities to obtain information about customers, promoting evidence-based decision making, developing integral customer experiences, etc.) and becoming more of an ecosystem beyond individual value chains (become great at building partnerships with new stakeholders). Thus, the Industry 4.0 provides opportunities to create new and more flexible value_propositions to respond to customer_demands such as the provision of individualized products and even batch-size-line production. Moreover, an enhanced customer orientation is shown by the expansion of innovative service offering."
1.0,0.9731,"enterprise, opportunity, platform, crossborder, performance, service, digitalization, capability, data, industry","Users of platforms have limited authority and control mechanisms. Platform users as in case Beta need to consider the implications that arise from the interaction with external platforms e.g. mandatory data standards or authoritative entry barriers (fees for platform participation). Beyond the influential sphere of an organization or platform, little is known about who uses the data for which purpose, and with whom the data is shared subsequently in the process. Thus, the influence of authority for the individual actor within an ecosystem might be limited."
1.0,0.9707,"enterprise, opportunity, platform, crossborder, performance, service, digitalization, capability, data, industry","Changing the value_proposition to adopt more sustainability will lead to developing,enabling, and leveraging certain capabilities within the firm that would eventually lead to improving the firm performance. It  will improve the firm’s performance for supply-side reasons by developing sustainability-related capabilities that might help in discovering or creating new_markets and sources of competitive advantage. a sustainable value_proposition will lead to an improvement in firm performance due to demand-side reasons. According to the demand-side explanation, a sustainable value_proposition
increases customer willingness to pay and also differentiates the products and services to attract customers"
1.0,0.954,"enterprise, opportunity, platform, crossborder, performance, service, digitalization, capability, data, industry","The healthcare industry in Africa seems to be an ideal context for implementing successful Creating Shared Value (CSV) strategies through the adoption of disruptive business_models that might improve patients’ access to affordable healthcare services, support healthcare industry sustainability, and help innovative firms achieve value_creation goals and foster social progress."
1.0,0.9517,"enterprise, opportunity, platform, crossborder, performance, service, digitalization, capability, data, industry","To build an efficient network of worldwide overseas warehouses, cross-border companies developed its overseas warehousing businesses, which include third-party overseas warehousing for medium-sized cross-border e-commerce companies and transhipment services for individuals."
1.0,0.9491,"enterprise, opportunity, platform, crossborder, performance, service, digitalization, capability, data, industry","the emergence of digital_technologies and applications such as the Internet of Things (IoT), Industry 4.0, artificial intelligence, automation, remote_monitoring, predictive_maintenance, smart_contracts, big_data, the cloud, analytics, and smart connected products offers many business development opportunities"
1.0,0.9491,"enterprise, opportunity, platform, crossborder, performance, service, digitalization, capability, data, industry","BMI is defined as the activity-based perspective of BMs, resulting in changes in an enterprise’s BM that is new to the world or just new to the enterprises under analysis . BMI results in reconfiguration of activities in the existing BM of an enterprise that is new to the market in which enterprise competes . It is a process that deliberately changes the core elements of an enterprise and its business logic"
1.0,0.9356,"enterprise, opportunity, platform, crossborder, performance, service, digitalization, capability, data, industry","Big data is used as a basic strategic resource to fully implement actions to promote big_data development. A report from the McKinsey Global Institute also points out that effective capture, analysis, visualization, application of big_data to insight and achieve business objectives will help enterprises stand out from the fierce competition"
1.0,0.9356,"enterprise, opportunity, platform, crossborder, performance, service, digitalization, capability, data, industry","In a complex cross-border activitis scenario, the researchers recommends that, there should be integration limination between the acquirer and target for a better post acquisition performance. However, it might not work in certain cases."
1.0,0.9309,"enterprise, opportunity, platform, crossborder, performance, service, digitalization, capability, data, industry","Although difficult to measure, the patient-physician relationship has diagnostic and therapeutic benefits. Understanding what symptoms are typical for a patient can help a physician determine the difference between benign and serious pathologies and a patient may disclose more details to a physician they know well."
2.0,0.9758,"technology, business_model, mainstream, consumer, disruptive_innovation, purpose, customer, reality, attribute, market","Disruptive innovation as: An innovation process in which technologies, products or services are initially inferior than those provided by incumbents in the attributes that mainstream consumers value, but these technologies, products or services can attract and satisfy the consumers in low-end or new_markets with advantages in performance attributes (such as being cheap, simple, or convenient) that these consumers value but which at the same time are neglected by mainstream markets. Over time, through incremental improvement of technology or process, a disruptive_innovation gradually satisfies the needs of mainstream consumers, so as to attain certain market share from or even replace incumbents in mainstream markets."
2.0,0.9724,"technology, business_model, mainstream, consumer, disruptive_innovation, purpose, customer, reality, attribute, market","This model proposes a radical_innovation of the actual Business Model which follows the purpose of focusing on the core business (key or distinctive activities of the firm), sharing the uncertainty with other agents or achieving new required skills and resources from associates, due to the introduction of technologies such as Big Data, Cloud Computing, Augmented Reality or Virtual Reality. By this way, the focal firm’s value_creation process is linked with the stakeholders’ processes. Moving from value chains to ecosystems and, in consequence, increasing stakeholders’ knowledge, requires a radical change in many of the Business Model elements (key activities, channels and relationships) with both customer and partnerships. As a result, new ways of capturing_value should be defined too."
